,dtype,missing_fraction,n_unique,mean,std,min,max
fipscode,object,0.0,3231,,,,
locationname,object,0.027236149798823894,1837,,,,
stateabbr,object,0.027236149798823894,51,,,,
ACCESS2,float64,0.08511296812132467,255,11.673579161028416,4.748094516101479,4.0,43.7
BPHIGH,float64,0.08511296812132467,252,33.53748308525034,4.654139102617779,21.0,53.1
CASTHMA,float64,0.08511296812132467,66,10.716677943166442,0.9107048603177619,7.8,15.1
COGNITION,float64,0.08511296812132467,152,16.593031123139376,2.770029133673487,9.5,27.1
COPD,float64,0.08511296812132467,96,6.986941813261164,1.546785975545023,3.2,15.0
CSMOKING,float64,0.08511296812132467,208,16.342692828146145,3.5421595296798123,6.5,40.3
DIABETES,float64,0.08511296812132467,144,11.168200270635994,2.3300647272070676,6.0,23.8
EMOTIONSPT,float64,0.2884555865057258,180,24.288995215311,3.361920814968962,16.7,37.8
FOODINSECU,float64,0.2884555865057258,291,17.2983906046107,6.095419246444037,5.9,46.8
FOODSTAMP,float64,0.2884555865057258,279,14.048673336233144,5.933470851921206,3.6,46.6
GHLTH,float64,0.08511296812132467,244,20.68562246278755,4.653096014776661,10.4,41.9
HOUSINSECU,float64,0.2884555865057258,215,13.968943018703783,4.2558638465930505,5.9,33.6
LACKTRPT,float64,0.2884555865057258,160,9.448629839060462,2.85878116651965,4.1,26.8
LONELINESS,float64,0.2884555865057258,147,34.19299695519791,2.7964338575825582,25.7,43.8
LPA,float64,0.08511296812132467,297,27.01884303112314,5.389698780251999,12.2,48.9
MOBILITY,float64,0.08511296812132467,173,13.697530446549393,3.019610578329261,7.0,28.8
OBESITY,float64,0.08511296812132467,282,37.62726657645467,4.744814689162971,17.1,54.0
SELFCARE,float64,0.08511296812132467,77,3.9451285520974286,1.0882917661364253,1.7,10.8
SLEEP,float64,0.027236149798823894,219,37.30801781737194,4.057472142615087,24.7,51.0
TEETHLOST,float64,0.027236149798823894,299,16.145434298440982,5.903337423678642,3.8,44.6
VISION,float64,0.08511296812132467,106,5.405378890392422,1.6520883032207558,2.5,17.5
Pop2010,float64,0.027545651501083256,3090,98264.01591343094,312946.5323512015,82.0,9818605.0
OHU2010,float64,0.027545651501083256,3008,37147.13303628262,111990.96129302865,39.0,3241204.0
NUMGQTRS,float64,0.027545651501083256,1874,2541.3206556333544,6512.642079390428,0.0,171682.0
LAPOP1_10,float64,0.027545651501083256,3106,21836.84730534322,53888.547401108786,0.0,794947.663554905
LAPOP05_10,float64,0.027545651501083256,3108,49043.29329251439,154886.43237653573,0.0,3616488.0214610337
LAPOP1_20,float64,0.027545651501083256,2531,20399.786181274452,53838.292673214484,0.0,774933.7810688376
LALOWI1_10,float64,0.027545651501083256,3104,5994.2980426259555,14198.367659391624,0.0,236350.9719999125
LALOWI05_10,float64,0.027545651501083256,3107,14719.033266367216,46423.12876477121,0.0,1122372.9946646765
