,missing_fraction
v051_cihigh,1.0
v083_cihigh,1.0
v045_cilow,1.0
v045_denominator,1.0
v143_denominator,1.0
v143_numerator,1.0
v139_cihigh,1.0
v042_numerator,1.0
v042_denominator,1.0
v139_cilow,1.0
v139_denominator,1.0
v002_numerator,1.0
v145_denominator,1.0
v002_denominator,1.0
v083_cilow,1.0
v183_denominator,1.0
v183_numerator,1.0
v155_numerator,1.0
v155_denominator,1.0
v155_cilow,1.0
v155_cihigh,1.0
v132_cilow,1.0
v045_cihigh,1.0
v049_numerator,1.0
v049_denominator,1.0
v137_numerator,1.0
v182_cihigh,1.0
v182_cilow,1.0
v182_denominator,1.0
v182_numerator,1.0
v179_cihigh,1.0
v179_cilow,1.0
v156_cihigh,1.0
v156_cilow,1.0
v156_denominator,1.0
v156_numerator,1.0
v131_cihigh,1.0
v131_cilow,1.0
v070_denominator,1.0
v070_numerator,1.0
v001_race_tom_flag,1.0
v009_denominator,1.0
v036_numerator,1.0
v036_denominator,1.0
v009_numerator,1.0
v132_cihigh,1.0
v145_numerator,1.0
v178_denominator,1.0
v023_cihigh,1.0
v050_cihigh,1.0
v147_denominator,1.0
v147_numerator,1.0
v171_cihigh,1.0
v171_cilow,1.0
v171_numerator,1.0
v140_cihigh,1.0
v140_cilow,1.0
v024_denominator,1.0
v023_cilow,1.0
v133_cilow,1.0
v181_denominator,1.0
v181_numerator,1.0
v124_cihigh,1.0
v124_cilow,1.0
v124_denominator,1.0
v124_numerator,1.0
v125_cihigh,1.0
v125_cilow,1.0
v125_denominator,1.0
v050_cilow,1.0
v050_denominator,1.0
v050_numerator,1.0
v005_cihigh,1.0
v133_cihigh,1.0
v011_denominator,1.0
v011_numerator,1.0
v061_cihigh,1.0
v004_cilow,1.0
v004_cihigh,1.0
v061_cilow,1.0
v061_denominator,1.0
v060_denominator,1.0
v060_numerator,1.0
v062_cilow,1.0
v062_cihigh,1.0
v144_denominator,1.0
v144_numerator,1.0
v088_cilow,1.0
v088_cihigh,1.0
v005_numerator,1.0
v005_denominator,1.0
v005_cilow,1.0
v178_numerator,1.0
v125_numerator,1.0
v178_cilow,1.0
v169_cihigh,1.0
v063_numerator,1.0
v063_denominator,1.0
v080_cilow,1.0
v056_cihigh,1.0
v056_cilow,1.0
v081_cihigh,1.0
v081_cilow,1.0
v055_cihigh,1.0
v055_cilow,1.0
v057_cihigh,1.0
v057_cilow,1.0
v053_cihigh,1.0
v053_cilow,1.0
v170_rawvalue,1.0
v170_numerator,1.0
v170_denominator,1.0
v170_cilow,1.0
v170_cihigh,1.0
v172_cilow,1.0
v172_cihigh,1.0
v141_numerator,1.0
v141_denominator,1.0
v141_cilow,1.0
v141_cihigh,1.0
v052_cihigh,1.0
v052_cilow,1.0
v184_denominator,1.0
v184_numerator,1.0
v178_cihigh,1.0
v065_cihigh,1.0
v065_cilow,1.0
v080_cihigh,1.0
v058_cihigh,1.0
v177_cilow,1.0
v177_cihigh,1.0
v021_cilow,1.0
v021_cihigh,1.0
v159_numerator,1.0
v159_denominator,1.0
v159_cilow,1.0
v159_cihigh,1.0
v051_cilow,1.0
v160_numerator,1.0
v160_denominator,1.0
v160_cilow,1.0
v160_cihigh,1.0
v051_denominator,1.0
v051_numerator,1.0
v180_denominator,1.0
v054_cilow,1.0
v167_numerator,1.0
v167_denominator,1.0
v167_cilow,1.0
v167_cihigh,1.0
v169_numerator,1.0
v169_denominator,1.0
v058_cilow,1.0
v169_cilow,1.0
v180_numerator,1.0
v126_cihigh,1.0
v126_cilow,1.0
v054_cihigh,1.0
v129_race_nhopi_cihigh,0.9984481688392303
v129_race_nhopi,0.9984481688392303
v129_race_nhopi_cilow,0.9984481688392303
v015_race_nhopi,0.9978274363749224
v015_race_nhopi_cilow,0.9978274363749224
v015_race_nhopi_cihigh,0.9978274363749224
v138_race_nhopi,0.9978274363749224
v161_race_nhopi,0.9978274363749224
v161_race_nhopi_cilow,0.9978274363749224
v161_race_nhopi_cihigh,0.9978274363749224
v138_race_nhopi_cihigh,0.9978274363749224
v138_race_nhopi_cilow,0.9978274363749224
v148_race_nhopi_cihigh,0.9972067039106145
